"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jul-2025","EQ","1,432.20","1,451.00","1,422.60","1,432.00","1,427.80","1,427.80","1,430.58","1,471.60","1,153.00","1,33,72,280","19,13,01,57,807.70","2,13,176"
"01-Jul-2025","EQ","1,445.70","1,447.60","1,429.60","1,445.80","1,431.70","1,432.00","1,435.52","1,471.60","1,153.00","77,61,449","11,14,17,35,649.70","1,85,345"
"30-Jun-2025","EQ","1,461.80","1,461.90","1,442.30","1,462.20","1,449.00","1,445.80","1,449.97","1,471.60","1,153.00","63,25,073","9,17,11,82,603.20","1,87,773"
"27-Jun-2025","EQ","1,438.90","1,466.00","1,437.10","1,439.10","1,457.90","1,462.20","1,457.56","1,471.60","1,152.65","2,25,32,899","32,84,30,85,618.20","2,17,058"
"26-Jun-2025","EQ","1,424.80","1,447.50","1,421.70","1,425.80","1,440.00","1,439.10","1,436.85","1,471.60","1,152.65","1,36,17,435","19,56,62,10,028.90","2,20,490"
"25-Jun-2025","EQ","1,422.00","1,428.90","1,415.30","1,424.10","1,424.50","1,425.80","1,423.08","1,471.60","1,152.65","75,27,388","10,71,20,47,350.90","1,47,548"
"24-Jun-2025","EQ","1,427.70","1,435.90","1,416.50","1,420.10","1,424.00","1,424.10","1,425.61","1,471.60","1,152.65","1,11,88,438","15,95,03,52,718.80","1,88,014"
"23-Jun-2025","EQ","1,417.00","1,423.20","1,411.90","1,427.10","1,419.10","1,420.10","1,417.98","1,471.60","1,152.65","55,14,384","7,81,93,02,210.20","1,60,229"
"20-Jun-2025","EQ","1,411.30","1,433.30","1,410.20","1,411.30","1,426.40","1,427.10","1,426.55","1,471.60","1,101.20","1,24,08,178","17,70,08,87,653.80","1,60,865"
"19-Jun-2025","EQ","1,408.00","1,414.70","1,404.70","1,412.60","1,410.00","1,411.30","1,409.62","1,471.60","1,101.20","88,49,883","12,47,49,98,015.50","3,42,983"
"18-Jun-2025","EQ","1,417.00","1,432.00","1,410.20","1,423.20","1,413.00","1,412.60","1,415.55","1,471.60","1,101.20","67,51,745","9,55,74,44,212.10","1,62,388"
"17-Jun-2025","EQ","1,426.90","1,429.80","1,417.80","1,426.90","1,422.00","1,423.20","1,423.27","1,471.60","1,101.20","69,70,098","9,92,02,98,395.00","1,93,761"
"16-Jun-2025","EQ","1,416.60","1,429.00","1,414.20","1,416.10","1,427.90","1,426.90","1,423.44","1,471.60","1,101.20","54,51,137","7,75,93,40,748.40","89,237"
"13-Jun-2025","EQ","1,403.60","1,421.50","1,403.60","1,425.20","1,417.70","1,416.10","1,413.67","1,471.60","1,099.45","75,73,103","10,70,58,43,818.30","1,88,584"
"12-Jun-2025","EQ","1,430.50","1,436.50","1,420.00","1,431.00","1,424.50","1,425.20","1,425.62","1,471.60","1,099.45","79,53,247","11,33,82,80,353.60","1,84,161"
"11-Jun-2025","EQ","1,421.80","1,434.50","1,418.60","1,422.90","1,430.30","1,431.00","1,430.07","1,471.60","1,099.45","71,36,877","10,20,62,08,002.70","2,34,139"
"10-Jun-2025","EQ","1,439.00","1,441.70","1,416.50","1,434.80","1,421.80","1,422.90","1,422.89","1,471.60","1,099.45","1,29,05,272","18,36,28,44,057.10","3,76,346"
"09-Jun-2025","EQ","1,465.00","1,466.80","1,433.40","1,459.70","1,434.50","1,434.80","1,441.92","1,471.60","1,099.45","1,10,22,031","15,89,28,38,386.70","3,37,749"
"06-Jun-2025","EQ","1,448.60","1,461.40","1,442.10","1,454.80","1,460.00","1,459.70","1,455.63","1,471.60","1,051.05","1,15,80,994","16,85,76,21,605.20","2,15,279"
"05-Jun-2025","EQ","1,430.90","1,459.00","1,427.30","1,431.00","1,456.30","1,454.80","1,448.79","1,471.60","1,051.05","1,13,85,668","16,49,53,94,104.40","1,76,086"
"04-Jun-2025","EQ","1,437.40","1,440.10","1,426.40","1,437.90","1,431.10","1,431.00","1,430.63","1,471.60","1,051.05","80,25,388","11,48,13,43,481.90","1,47,312"
"03-Jun-2025","EQ","1,454.90","1,455.00","1,432.00","1,450.50","1,437.00","1,437.90","1,438.02","1,471.60","1,051.05","1,11,67,345","16,05,88,76,541.30","2,25,871"
"02-Jun-2025","EQ","1,442.00","1,460.00","1,432.80","1,445.80","1,447.70","1,450.50","1,442.40","1,471.60","1,051.05","94,58,990","13,64,36,23,560.30","1,78,241"
"30-May-2025","EQ","1,459.90","1,460.90","1,444.30","1,456.50","1,446.10","1,445.80","1,449.04","1,471.60","1,051.05","1,18,03,975","17,10,44,65,533.30","1,55,611"
"29-May-2025","EQ","1,456.60","1,462.90","1,445.00","1,453.80","1,461.00","1,456.50","1,452.26","1,471.60","1,051.05","1,55,45,514","22,57,61,88,990.20","2,10,205"
"28-May-2025","EQ","1,447.60","1,458.00","1,442.50","1,446.40","1,452.90","1,453.80","1,452.83","1,471.60","1,051.05","86,18,343","12,52,10,29,815.60","1,35,239"
"27-May-2025","EQ","1,452.50","1,463.00","1,435.70","1,460.60","1,445.30","1,446.40","1,445.59","1,471.60","1,051.05","1,48,42,959","21,45,68,11,800.60","2,21,484"
"26-May-2025","EQ","1,458.00","1,471.60","1,455.00","1,449.80","1,460.50","1,460.60","1,460.94","1,471.60","1,051.05","56,08,725","8,19,39,94,503.70","1,89,038"
"23-May-2025","EQ","1,442.20","1,451.80","1,434.40","1,442.10","1,450.50","1,449.80","1,446.83","1,459.70","1,051.05","52,03,706","7,52,88,52,323.30","1,13,699"
"22-May-2025","EQ","1,441.10","1,445.30","1,427.80","1,444.70","1,440.00","1,442.10","1,435.62","1,459.70","1,051.05","72,45,933","10,40,23,74,075.40","1,47,665"
"21-May-2025","EQ","1,442.90","1,451.30","1,438.50","1,438.20","1,445.40","1,444.70","1,445.11","1,459.70","1,051.05","55,10,460","7,96,32,42,254.50","1,06,396"
"20-May-2025","EQ","1,450.20","1,459.00","1,435.50","1,449.00","1,439.50","1,438.20","1,440.54","1,459.70","1,051.05","1,13,52,383","16,35,35,93,402.10","1,28,816"
"19-May-2025","EQ","1,446.50","1,459.70","1,443.80","1,454.00","1,447.00","1,449.00","1,451.29","1,459.70","1,051.05","60,05,334","8,71,55,02,198.10","1,39,810"
"16-May-2025","EQ","1,453.30","1,458.70","1,447.00","1,450.80","1,452.40","1,454.00","1,454.25","1,458.70","1,051.05","64,39,208","9,36,42,46,054.90","1,45,344"
"15-May-2025","EQ","1,425.90","1,456.50","1,415.50","1,426.20","1,451.00","1,450.80","1,438.96","1,456.50","1,051.05","1,82,09,264","26,20,23,83,268.60","2,11,899"
"14-May-2025","EQ","1,429.90","1,440.70","1,417.30","1,430.60","1,427.40","1,426.20","1,427.87","1,453.00","1,051.05","80,26,837","11,46,13,11,035.00","1,43,054"
"13-May-2025","EQ","1,440.10","1,447.90","1,427.40","1,448.50","1,430.80","1,430.60","1,432.31","1,453.00","1,051.05","1,24,75,424","17,86,86,17,217.50","2,09,013"
"12-May-2025","EQ","1,409.40","1,453.00","1,404.00","1,388.90","1,451.50","1,448.50","1,436.69","1,453.00","1,051.05","99,25,445","14,25,98,37,185.10","1,80,758"
"09-May-2025","EQ","1,415.20","1,419.90","1,387.00","1,435.50","1,389.00","1,388.90","1,394.54","1,448.90","1,051.05","1,34,91,197","18,81,40,33,148.00","2,48,736"
"08-May-2025","EQ","1,438.60","1,448.90","1,426.10","1,435.40","1,427.30","1,435.50","1,439.49","1,448.90","1,051.05","1,53,06,490","22,03,35,10,832.00","1,82,407"
"07-May-2025","EQ","1,425.00","1,442.00","1,421.00","1,431.60","1,437.10","1,435.40","1,431.25","1,446.80","1,051.05","1,04,80,453","15,00,01,67,610.70","1,66,481"
"06-May-2025","EQ","1,429.00","1,433.70","1,420.40","1,429.40","1,430.00","1,431.60","1,428.23","1,446.80","1,051.05","63,01,690","9,00,02,65,687.10","1,33,476"
"05-May-2025","EQ","1,440.00","1,446.80","1,426.00","1,432.40","1,427.40","1,429.40","1,432.29","1,446.80","1,051.05","45,65,705","6,53,93,97,953.40","1,15,354"
"02-May-2025","EQ","1,426.90","1,446.60","1,424.60","1,427.00","1,429.00","1,432.40","1,436.51","1,446.60","1,051.05","1,07,63,492","15,46,18,19,959.10","1,70,242"
"30-Apr-2025","EQ","1,433.00","1,433.70","1,400.00","1,429.80","1,424.30","1,427.00","1,427.91","1,438.30","1,051.05","1,41,92,027","20,26,49,76,307.30","2,38,248"
"29-Apr-2025","EQ","1,428.80","1,438.30","1,422.60","1,428.80","1,425.50","1,429.80","1,428.52","1,438.30","1,051.05","1,07,86,910","15,40,92,65,024.50","2,23,499"
"28-Apr-2025","EQ","1,405.60","1,435.00","1,403.80","1,404.80","1,428.00","1,428.80","1,427.33","1,436.00","1,051.05","1,09,48,561","15,62,71,94,700.70","1,92,819"
"25-Apr-2025","EQ","1,410.00","1,414.80","1,388.40","1,402.70","1,403.00","1,404.80","1,400.91","1,436.00","1,051.05","1,17,05,093","16,39,77,82,261.90","2,34,552"
"24-Apr-2025","EQ","1,416.30","1,421.20","1,398.80","1,424.40","1,401.00","1,402.70","1,407.84","1,436.00","1,051.05","1,56,78,099","22,07,22,10,947.60","2,10,098"
"23-Apr-2025","EQ","1,429.00","1,429.90","1,411.30","1,416.50","1,422.00","1,424.40","1,421.06","1,436.00","1,051.05","1,39,90,764","19,88,16,70,203.60","2,20,724"
"22-Apr-2025","EQ","1,412.80","1,418.80","1,398.90","1,409.80","1,414.00","1,416.50","1,410.65","1,436.00","1,051.05","1,61,35,274","22,76,11,77,353.90","2,75,616"
"21-Apr-2025","EQ","1,436.00","1,436.00","1,404.70","1,406.70","1,408.10","1,409.80","1,416.70","1,436.00","1,051.05","1,68,82,426","23,91,74,04,930.60","2,91,654"
"17-Apr-2025","EQ","1,362.00","1,408.90","1,360.10","1,356.40","1,407.00","1,406.70","1,391.92","1,408.90","1,048.10","1,74,90,424","24,34,51,98,635.10","2,94,006"
"16-Apr-2025","EQ","1,357.00","1,359.70","1,342.90","1,350.20","1,358.00","1,356.40","1,350.44","1,373.00","1,048.10","1,40,39,073","18,95,89,40,775.00","1,80,990"
"15-Apr-2025","EQ","1,351.00","1,354.30","1,336.20","1,311.65","1,350.40","1,350.20","1,347.70","1,373.00","1,048.10","1,52,02,603","20,48,85,28,370.70","2,22,333"
"11-Apr-2025","EQ","1,305.10","1,325.00","1,305.10","1,300.80","1,312.05","1,311.65","1,314.61","1,373.00","1,048.10","1,30,64,247","17,17,43,25,317.90","2,24,885"
"09-Apr-2025","EQ","1,304.95","1,305.10","1,284.50","1,299.90","1,304.00","1,300.80","1,296.12","1,373.00","1,048.10","1,30,05,622","16,85,69,03,289.70","2,37,174"
"08-Apr-2025","EQ","1,299.85","1,310.05","1,287.35","1,287.55","1,300.05","1,299.90","1,298.35","1,373.00","1,048.10","1,30,85,762","16,98,99,34,735.70","1,71,223"
"07-Apr-2025","EQ","1,295.25","1,325.00","1,265.00","1,335.30","1,294.10","1,287.55","1,290.47","1,373.00","1,048.10","1,91,85,012","24,75,76,11,797.90","5,15,573"
"04-Apr-2025","EQ","1,329.55","1,338.55","1,322.10","1,329.55","1,335.00","1,335.30","1,331.60","1,373.00","1,048.10","86,48,542","11,51,64,14,124.30","1,66,068"
"03-Apr-2025","EQ","1,321.95","1,333.00","1,321.25","1,331.25","1,328.95","1,329.55","1,328.60","1,373.00","1,048.10","45,91,008","6,09,96,29,464.80","1,27,085"
"02-Apr-2025","EQ","1,322.15","1,337.95","1,322.15","1,318.45","1,330.85","1,331.25","1,330.74","1,373.00","1,048.10","80,42,214","10,70,21,34,959.60","1,27,734"
"01-Apr-2025","EQ","1,340.00","1,352.35","1,315.40","1,348.35","1,318.15","1,318.45","1,326.83","1,373.00","1,048.10","1,42,88,024","18,95,77,34,985.95","2,06,118"
"28-Mar-2025","EQ","1,336.00","1,357.95","1,327.20","1,336.65","1,348.00","1,348.35","1,345.90","1,373.00","1,048.10","82,66,544","11,12,59,00,933.90","1,42,133"
"27-Mar-2025","EQ","1,333.15","1,351.50","1,333.15","1,335.90","1,339.00","1,336.65","1,340.70","1,373.00","1,048.10","1,51,09,614","20,25,74,03,852.90","1,87,305"
"26-Mar-2025","EQ","1,344.05","1,358.00","1,331.50","1,343.70","1,335.45","1,335.90","1,341.51","1,373.00","1,048.10","1,08,59,639","14,56,83,52,861.70","1,97,579"
"25-Mar-2025","EQ","1,359.00","1,363.80","1,330.05","1,358.15","1,341.95","1,343.70","1,345.81","1,373.00","1,048.10","1,64,19,207","22,09,70,82,282.10","3,26,362"
"24-Mar-2025","EQ","1,355.95","1,373.00","1,345.05","1,343.10","1,361.20","1,358.15","1,358.95","1,373.00","1,048.10","93,52,280","12,70,92,78,600.90","2,03,054"
"21-Mar-2025","EQ","1,316.00","1,349.00","1,311.60","1,321.70","1,337.95","1,343.10","1,341.59","1,362.35","1,048.10","6,04,94,318","81,15,85,65,386.50","3,44,744"
"20-Mar-2025","EQ","1,320.00","1,324.25","1,311.05","1,313.10","1,318.55","1,321.70","1,319.08","1,362.35","1,048.10","1,08,86,735","14,36,04,81,637.45","2,52,535"
"19-Mar-2025","EQ","1,305.60","1,318.30","1,302.15","1,309.85","1,316.00","1,313.10","1,311.61","1,362.35","1,048.10","1,12,78,014","14,79,23,32,058.70","2,44,205"
"18-Mar-2025","EQ","1,285.50","1,313.85","1,280.65","1,269.00","1,311.50","1,309.85","1,299.54","1,362.35","1,048.10","1,56,45,427","20,33,18,86,817.15","3,37,230"
"17-Mar-2025","EQ","1,257.05","1,273.95","1,254.75","1,250.05","1,268.65","1,269.00","1,267.47","1,362.35","1,048.10","1,11,64,882","14,15,11,49,490.55","2,26,414"
"13-Mar-2025","EQ","1,251.05","1,255.60","1,245.30","1,243.95","1,248.65","1,250.05","1,250.96","1,362.35","1,048.10","81,32,940","10,17,39,84,588.65","1,90,526"
"12-Mar-2025","EQ","1,246.95","1,251.95","1,235.30","1,245.40","1,244.45","1,243.95","1,243.37","1,362.35","1,048.10","1,15,48,372","14,35,88,54,881.85","1,97,340"
"11-Mar-2025","EQ","1,217.20","1,248.00","1,217.20","1,214.85","1,244.15","1,245.40","1,238.81","1,362.35","1,048.10","1,09,27,950","13,53,76,05,281.45","2,38,907"
"10-Mar-2025","EQ","1,208.00","1,225.80","1,208.00","1,214.55","1,212.90","1,214.85","1,218.50","1,362.35","1,048.10","73,63,437","8,97,23,40,771.15","1,52,261"
"07-Mar-2025","EQ","1,211.10","1,217.85","1,206.30","1,218.05","1,213.40","1,214.55","1,213.63","1,362.35","1,048.10","66,20,284","8,03,45,43,520.35","1,18,643"
"06-Mar-2025","EQ","1,227.95","1,227.95","1,209.00","1,215.70","1,219.80","1,218.05","1,217.04","1,362.35","1,048.10","1,19,49,475","14,54,30,33,343.20","2,50,155"
"05-Mar-2025","EQ","1,217.00","1,225.95","1,211.30","1,210.40","1,215.00","1,215.70","1,216.73","1,362.35","1,048.10","90,52,846","11,01,48,65,217.65","1,99,811"
"04-Mar-2025","EQ","1,207.15","1,216.65","1,206.25","1,206.20","1,212.80","1,210.40","1,210.78","1,362.35","1,048.10","95,74,490","11,59,26,01,922.90","1,69,550"
"03-Mar-2025","EQ","1,210.50","1,217.00","1,204.15","1,204.10","1,208.70","1,206.20","1,209.49","1,362.35","1,048.10","81,58,881","9,86,80,73,967.35","2,08,311"
"28-Feb-2025","EQ","1,216.00","1,225.00","1,200.10","1,222.45","1,201.10","1,204.10","1,208.91","1,362.35","1,038.50","2,02,15,075","24,43,82,00,772.65","2,68,866"
"27-Feb-2025","EQ","1,225.15","1,234.85","1,218.45","1,224.15","1,220.00","1,222.45","1,226.56","1,362.35","1,038.50","1,20,08,162","14,72,87,53,125.00","2,34,248"
"25-Feb-2025","EQ","1,226.60","1,231.65","1,221.00","1,218.35","1,225.80","1,224.15","1,225.00","1,362.35","1,038.50","1,10,59,417","13,54,77,35,420.80","1,99,168"
"24-Feb-2025","EQ","1,226.70","1,231.90","1,210.25","1,232.95","1,219.70","1,218.35","1,217.57","1,362.35","1,038.50","1,15,22,480","14,02,93,88,111.95","2,06,398"
"21-Feb-2025","EQ","1,241.10","1,244.70","1,224.55","1,249.95","1,232.00","1,232.95","1,233.19","1,362.35","1,023.35","77,86,428","9,60,21,12,287.65","1,78,759"
"20-Feb-2025","EQ","1,255.35","1,264.00","1,246.75","1,261.65","1,248.15","1,249.95","1,252.30","1,362.35","1,023.35","83,98,849","10,51,78,47,931.90","2,04,041"
"19-Feb-2025","EQ","1,234.85","1,264.45","1,230.25","1,243.05","1,261.50","1,261.65","1,253.91","1,362.35","1,023.35","1,06,83,412","13,39,60,72,372.50","1,64,771"
"18-Feb-2025","EQ","1,252.90","1,257.60","1,237.05","1,251.15","1,242.55","1,243.05","1,242.37","1,362.35","1,023.35","81,35,042","10,10,67,08,536.60","2,57,996"
"17-Feb-2025","EQ","1,251.15","1,258.15","1,233.25","1,260.10","1,251.65","1,251.15","1,244.89","1,362.35","1,023.35","83,86,151","10,43,98,44,806.35","2,94,062"
"14-Feb-2025","EQ","1,252.10","1,263.50","1,244.45","1,248.90","1,259.00","1,260.10","1,254.48","1,362.35","985.25","1,03,68,438","13,00,69,59,974.75","2,89,728"
"13-Feb-2025","EQ","1,252.55","1,266.00","1,245.90","1,251.80","1,248.50","1,248.90","1,254.61","1,362.35","985.25","72,63,785","9,11,32,47,793.40","2,61,567"
"12-Feb-2025","EQ","1,257.20","1,269.75","1,244.65","1,252.75","1,252.85","1,251.80","1,252.33","1,362.35","985.25","88,09,352","11,03,22,00,057.65","3,20,587"
"11-Feb-2025","EQ","1,255.85","1,261.85","1,248.40","1,262.60","1,248.55","1,252.75","1,254.67","1,362.35","985.25","65,86,627","8,26,40,43,638.70","1,74,408"
"10-Feb-2025","EQ","1,257.20","1,265.00","1,249.35","1,256.90","1,259.60","1,262.60","1,257.56","1,362.35","985.25","57,40,361","7,21,88,36,541.20","1,80,650"
"07-Feb-2025","EQ","1,272.00","1,275.00","1,249.55","1,272.40","1,257.00","1,256.90","1,258.99","1,362.35","985.25","73,82,039","9,29,38,77,445.05","1,91,355"
"06-Feb-2025","EQ","1,275.00","1,279.00","1,263.20","1,267.70","1,272.00","1,272.40","1,270.57","1,362.35","985.25","83,96,554","10,66,84,40,486.05","2,26,596"
