"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jul-2025","EQ","651.95","653.05","645.30","649.65","649.35","650.65","649.20","658.50","473.90","20,40,292","1,32,45,63,522.70","33,741"
"01-Jul-2025","EQ","645.70","653.75","639.55","643.45","650.30","649.65","646.65","658.50","473.90","24,96,658","1,61,44,68,828.50","43,037"
"30-Jun-2025","EQ","630.00","646.00","628.35","626.80","643.55","643.45","641.74","658.50","473.90","23,41,558","1,50,26,60,226.25","47,801"
"27-Jun-2025","EQ","638.00","642.00","625.60","635.95","628.40","626.80","631.65","658.50","473.90","24,16,450","1,52,63,52,357.30","48,998"
"26-Jun-2025","EQ","622.50","637.70","618.60","620.70","634.00","635.95","629.95","658.50","473.90","24,03,993","1,51,43,91,761.95","53,948"
"25-Jun-2025","EQ","627.00","630.65","618.60","623.30","620.90","620.70","622.04","658.50","473.90","13,64,294","84,86,51,277.60","31,460"
"24-Jun-2025","EQ","628.00","631.90","618.00","617.25","624.80","623.30","625.00","658.50","473.90","27,44,554","1,71,53,55,160.05","40,866"
"23-Jun-2025","EQ","614.00","621.95","611.50","615.65","617.05","617.25","617.43","658.50","473.90","18,75,657","1,15,80,79,915.50","40,994"
"20-Jun-2025","EQ","619.00","624.50","614.40","615.15","615.00","615.65","618.49","658.50","473.90","14,00,181","86,59,91,772.95","29,984"
"19-Jun-2025","EQ","626.00","626.00","612.55","628.65","615.00","615.15","615.44","658.50","473.90","46,23,484","2,84,54,95,975.50","80,038"
"18-Jun-2025","EQ","633.05","633.05","622.50","634.05","627.50","628.65","626.93","658.50","473.90","11,13,256","69,79,34,405.55","36,172"
"17-Jun-2025","EQ","634.00","642.00","630.65","632.70","631.00","634.05","635.72","658.50","473.90","16,32,394","1,03,77,43,001.30","29,164"
"16-Jun-2025","EQ","624.95","635.00","621.60","624.85","632.50","632.70","626.62","658.50","473.90","41,68,719","2,61,21,88,486.40","34,831"
"13-Jun-2025","EQ","609.60","629.90","606.00","625.10","625.40","624.85","622.84","658.50","473.90","38,73,962","2,41,28,76,435.90","50,007"
"12-Jun-2025","EQ","626.00","629.50","624.25","625.00","625.00","625.10","625.37","658.50","473.90","22,03,171","1,37,77,99,084.05","27,186"
"11-Jun-2025","EQ","628.75","630.95","617.55","628.75","625.20","625.00","626.07","658.50","473.90","47,00,658","2,94,29,62,983.55","31,814"
"10-Jun-2025","EQ","637.15","637.20","622.50","651.80","629.00","628.75","627.64","658.50","473.90","67,45,778","4,23,39,10,442.30","84,162"
"09-Jun-2025","EQ","643.00","653.20","638.45","634.05","653.20","651.80","648.16","658.50","473.90","42,39,222","2,74,76,88,179.20","55,520"
"06-Jun-2025","EQ","632.50","639.00","624.50","629.70","635.50","634.05","633.04","658.50","473.90","35,43,484","2,24,31,68,849.50","73,498"
"05-Jun-2025","EQ","637.00","637.00","626.00","633.65","629.55","629.70","629.77","658.50","473.90","12,48,762","78,64,34,370.70","32,999"
"04-Jun-2025","EQ","637.00","641.60","622.95","632.40","633.90","633.65","630.17","658.50","473.90","31,82,423","2,00,54,68,964.50","51,686"
"03-Jun-2025","EQ","651.90","658.50","630.00","646.25","632.50","632.40","646.15","658.50","473.90","70,09,387","4,52,91,25,079.55","1,07,175"
"02-Jun-2025","EQ","620.00","652.00","616.25","616.60","643.90","646.25","640.34","652.00","473.90","1,05,29,873","6,74,26,99,462.70","1,44,090"
"30-May-2025","EQ","604.00","628.95","597.65","601.05","614.00","616.60","617.81","632.70","473.90","37,77,034","2,33,34,85,727.90","62,142"
