"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","02 Jul 2025","57558.2","57628.4","56833.8","56999.20"
"NIFTY BANK","01 Jul 2025","57375.8","57533.85","57150.35","57459.45"
"NIFTY BANK","30 Jun 2025","57529.95","57614.5","57193.8","57312.75"
"NIFTY BANK","27 Jun 2025","57234.7","57475.4","56993.85","57443.90"
"NIFTY BANK","26 Jun 2025","56693.55","57263.45","56558.35","57206.70"
"NIFTY BANK","25 Jun 2025","56564.5","56681.4","56420.65","56621.15"
"NIFTY BANK","24 Jun 2025","56529.45","56862","56276.15","56461.90"
"NIFTY BANK","23 Jun 2025","55832.35","56233.55","55779.25","56059.35"
"NIFTY BANK","20 Jun 2025","55566.7","56328.2","55566.4","56252.85"
"NIFTY BANK","19 Jun 2025","55784.85","55942.45","55475.45","55577.45"
"NIFTY BANK","18 Jun 2025","55544.95","55933.6","55511.8","55828.75"
"NIFTY BANK","17 Jun 2025","55975","56067.3","55643.95","55714.15"
"NIFTY BANK","16 Jun 2025","55554.1","55999.85","55381.45","55944.90"
"NIFTY BANK","13 Jun 2025","55149.3","55688","55149.3","55527.35"
"NIFTY BANK","12 Jun 2025","56480.9","56611.05","55968.5","56082.55"
"NIFTY BANK","11 Jun 2025","56639.85","56782.5","56399.4","56459.75"
"NIFTY BANK","10 Jun 2025","56993.9","57015.4","56564.15","56629.10"
"NIFTY BANK","09 Jun 2025","57049.5","57049.5","56792.7","56839.60"
"NIFTY BANK","06 Jun 2025","55699.45","56695","55534.75","56578.40"
"NIFTY BANK","05 Jun 2025","55806.75","56010.15","55580.45","55760.85"
"NIFTY BANK","04 Jun 2025","55650.35","55791","55408.35","55676.85"
"NIFTY BANK","03 Jun 2025","56104.8","56161.4","55455.8","55599.95"
"NIFTY BANK","02 Jun 2025","55598.25","55966.3","55400.55","55903.40"
"NIFTY BANK","30 May 2025","55615.55","55813.3","55356.6","55749.70"
"NIFTY BANK","29 May 2025","55571.4","55782.75","55096.45","55546.05"
"NIFTY BANK","28 May 2025","55328.6","55521.8","55235.55","55417.00"
"NIFTY BANK","27 May 2025","55458.95","55831.35","55037.85","55352.80"
"NIFTY BANK","26 May 2025","55534.9","55875.75","55307.5","55572.00"
"NIFTY BANK","23 May 2025","54959.3","55441.3","54854.5","55398.25"
"NIFTY BANK","22 May 2025","54875.9","54996.1","54576.6","54941.30"
"NIFTY BANK","21 May 2025","55060.2","55336.85","54690.8","55075.10"
"NIFTY BANK","20 May 2025","55445.3","55568.35","54829.45","54877.35"
"NIFTY BANK","19 May 2025","55326.05","55695.55","55296.55","55420.70"
"NIFTY BANK","16 May 2025","55276","55418.9","55170.25","55354.90"
"NIFTY BANK","15 May 2025","54853.7","55490.55","54442.3","55355.60"
"NIFTY BANK","14 May 2025","55008.55","55208.6","54491","54801.30"
"NIFTY BANK","13 May 2025","55233.5","55499.65","54888.5","54940.85"
"NIFTY BANK","12 May 2025","54658.75","55466.3","54558.05","55382.85"
"NIFTY BANK","09 May 2025","53595.95","54054.8","53483.05","53595.25"
"NIFTY BANK","08 May 2025","54801.75","54937.25","54108","54365.65"
"NIFTY BANK","07 May 2025","54013.4","54684.3","53919.9","54610.90"
"NIFTY BANK","06 May 2025","54918.25","55036.95","54172.95","54271.40"
"NIFTY BANK","05 May 2025","55065.8","55345.5","54786.5","54919.50"
"NIFTY BANK","02 May 2025","55100.95","55691.95","54994.4","55115.35"
"NIFTY BANK","30 Apr 2025","55382.4","55478.25","54723.7","55087.15"
"NIFTY BANK","29 Apr 2025","55524.35","55957.75","55262.4","55391.25"
"NIFTY BANK","28 Apr 2025","54610.3","55577.4","54582.35","55432.80"
"NIFTY BANK","25 Apr 2025","55233.55","55350.55","54176.45","54664.05"
"NIFTY BANK","24 Apr 2025","55103.9","55550.45","55088.4","55201.40"
"NIFTY BANK","23 Apr 2025","56097.1","56098.7","55162.5","55370.05"
"NIFTY BANK","22 Apr 2025","55414.3","55961.2","55243.55","55647.20"
"NIFTY BANK","21 Apr 2025","54891.25","55461.65","54674.95","55304.50"
"NIFTY BANK","17 Apr 2025","53153.75","54407.2","53084.9","54290.20"
"NIFTY BANK","16 Apr 2025","52690.9","53164.45","52471.35","53117.75"
"NIFTY BANK","15 Apr 2025","52299","52486.35","51863.3","52379.50"
"NIFTY BANK","11 Apr 2025","50634.1","51244.7","50634.1","51002.35"
"NIFTY BANK","09 Apr 2025","50487.1","50496.9","49910.85","50240.15"
"NIFTY BANK","08 Apr 2025","50388.55","50793.7","50030.8","50511.00"
"NIFTY BANK","07 Apr 2025","49336.1","50426.25","49156.95","49860.10"
"NIFTY BANK","04 Apr 2025","51711.6","51893.6","51360.4","51502.70"
"NIFTY BANK","03 Apr 2025","50910","51661.6","50906.65","51597.35"
"NIFTY BANK","02 Apr 2025","50966.9","51404.2","50908.35","51348.05"
"NIFTY BANK","01 Apr 2025","51178.15","51683.85","50742","50827.50"
"NIFTY BANK","28 Mar 2025","51608.4","51839.1","51335.35","51564.85"
"NIFTY BANK","27 Mar 2025","51084.7","51714.35","51050.85","51575.85"
"NIFTY BANK","26 Mar 2025","51640.05","51875.8","51069.15","51209.00"
"NIFTY BANK","25 Mar 2025","51874.2","52063.95","51429.6","51607.95"
"NIFTY BANK","24 Mar 2025","50982.7","51801.15","50795.9","51704.95"
"NIFTY BANK","21 Mar 2025","49927.1","50672.15","49891.95","50593.55"
"NIFTY BANK","20 Mar 2025","49947.6","50155.3","49771.65","50062.85"
"NIFTY BANK","19 Mar 2025","49375.4","49807.55","49324.8","49702.60"
"NIFTY BANK","18 Mar 2025","48792.9","49400.3","48629.45","49314.50"
"NIFTY BANK","17 Mar 2025","48219.55","48481.35","48196.1","48354.15"
"NIFTY BANK","13 Mar 2025","48219.15","48352.45","48006.1","48060.40"
"NIFTY BANK","12 Mar 2025","47894.4","48222.15","47844.95","48056.65"
"NIFTY BANK","11 Mar 2025","47874.8","48029.05","47702.9","47853.95"
"NIFTY BANK","10 Mar 2025","48312","48599.15","48124.65","48216.80"
"NIFTY BANK","07 Mar 2025","48463.8","48709.05","48359.35","48497.50"
"NIFTY BANK","06 Mar 2025","48760","48839.1","48299.4","48627.70"
"NIFTY BANK","05 Mar 2025","48241.3","48657.65","48190.25","48489.95"
"NIFTY BANK","04 Mar 2025","47942.5","48374.9","47924.75","48245.20"
"NIFTY BANK","03 Mar 2025","48478.6","48574.7","47841.3","48114.30"
"NIFTY BANK","28 Feb 2025","48437.55","48574.5","48078.7","48344.70"
"NIFTY BANK","27 Feb 2025","48732.2","48972.55","48627.1","48743.80"
"NIFTY BANK","25 Feb 2025","48691.2","48862.15","48534.15","48608.35"
"NIFTY BANK","24 Feb 2025","48619.8","48748.4","48281.9","48651.95"
"NIFTY BANK","21 Feb 2025","49127.95","49306.55","48764","48981.20"
"NIFTY BANK","20 Feb 2025","49314.1","49455.8","49150.95","49334.55"
"NIFTY BANK","19 Feb 2025","48895.35","49628.25","48804","49570.10"
"NIFTY BANK","18 Feb 2025","49211.85","49328.55","48814.95","49087.30"
"NIFTY BANK","17 Feb 2025","48880.4","49319","48525.6","49258.90"
"NIFTY BANK","14 Feb 2025","49485.65","49592.95","48719.75","49099.45"
"NIFTY BANK","13 Feb 2025","49469.35","49836.1","49276.1","49359.85"
"NIFTY BANK","12 Feb 2025","49402.25","49702.35","48734.35","49479.45"
"NIFTY BANK","11 Feb 2025","49812.15","49906.75","49177.4","49403.40"
"NIFTY BANK","10 Feb 2025","50052.5","50155.65","49703.1","49981.00"
"NIFTY BANK","07 Feb 2025","50484.45","50641.75","49871.15","50158.85"
"NIFTY BANK","06 Feb 2025","50468.35","50553.35","50149.8","50382.10"
"NIFTY BANK","05 Feb 2025","50402.3","50522.15","50215.45","50343.05"
"NIFTY BANK","04 Feb 2025","49538.8","50206.6","49482.5","50157.95"
"NIFTY BANK","03 Feb 2025","49074.8","49373.45","48906.05","49210.55"
"NIFTY BANK","01 Feb 2025","49592.55","50009.5","48925.45","49506.95"
"NIFTY BANK","31 Jan 2025","49259.65","49674.8","49031.8","49587.20"
"NIFTY BANK","30 Jan 2025","49206.2","49426.2","49031.8","49311.95"
"NIFTY BANK","29 Jan 2025","48997.2","49199.65","48849.8","49165.95"
"NIFTY BANK","28 Jan 2025","48642.5","49247.15","48449.05","48866.85"
"NIFTY BANK","27 Jan 2025","47881.65","48319.2","47844.15","48064.65"
"NIFTY BANK","24 Jan 2025","48546.05","48858.65","48203","48367.80"
"NIFTY BANK","23 Jan 2025","48770.15","48892.7","48493","48589.00"
"NIFTY BANK","22 Jan 2025","48689.55","48781.75","48074.05","48724.40"
"NIFTY BANK","21 Jan 2025","49532","49543.15","48430.95","48570.90"
"NIFTY BANK","20 Jan 2025","48834.15","49650.6","48683.6","49350.80"
"NIFTY BANK","17 Jan 2025","48959.5","49047.2","48309.5","48540.60"
"NIFTY BANK","16 Jan 2025","49082.9","49459","49038.45","49278.70"
"NIFTY BANK","15 Jan 2025","48832.75","49083.65","48522.4","48751.70"
"NIFTY BANK","14 Jan 2025","48266.9","49007.35","48235.2","48729.15"
"NIFTY BANK","13 Jan 2025","48264.25","48606.35","47898.35","48041.25"
"NIFTY BANK","10 Jan 2025","49426.5","49483.15","48631.2","48734.15"
"NIFTY BANK","09 Jan 2025","49712.55","49798.1","49230.15","49503.50"
"NIFTY BANK","08 Jan 2025","50201.75","50246.9","49389.75","49835.05"
"NIFTY BANK","07 Jan 2025","50061.2","50447.6","49969.3","50202.15"
"NIFTY BANK","06 Jan 2025","50990.65","51026.1","49751","49922.00"
"NIFTY BANK","03 Jan 2025","51567.15","51671.6","50904.35","50988.80"
"NIFTY BANK","02 Jan 2025","51084.95","51672.75","50992.8","51605.55"
"NIFTY BANK","01 Jan 2025","50841.9","51321.95","50485.05","51060.60"
"NIFTY BANK","31 Dec 2024","50648.2","50945.55","50599.8","50860.20"
"NIFTY BANK","30 Dec 2024","51255.35","51979.75","50718.35","50952.75"
"NIFTY BANK","27 Dec 2024","51268.2","51628.45","51240.1","51311.30"
"NIFTY BANK","26 Dec 2024","51395.8","51740","50951.8","51170.70"
"NIFTY BANK","24 Dec 2024","51314.95","51382.1","51137.5","51233.00"
"NIFTY BANK","23 Dec 2024","51044.4","51417.35","51030.4","51317.60"
"NIFTY BANK","20 Dec 2024","51401.35","51629","50609.35","50759.20"
"NIFTY BANK","19 Dec 2024","51428.45","51789.85","51263.75","51575.70"
"NIFTY BANK","18 Dec 2024","52696.95","52827.6","52010.65","52139.55"
"NIFTY BANK","17 Dec 2024","53394.1","53515.7","52709.4","52834.80"
"NIFTY BANK","16 Dec 2024","53502.5","53738.9","53335","53581.35"
"NIFTY BANK","13 Dec 2024","53109.8","53654","52264.55","53583.80"
"NIFTY BANK","12 Dec 2024","53201","53537.45","53174.4","53216.45"
"NIFTY BANK","11 Dec 2024","53459.3","53648.05","53302.15","53391.35"
"NIFTY BANK","10 Dec 2024","53450.05","53624.05","53302.65","53577.70"
"NIFTY BANK","09 Dec 2024","53380.75","53775.1","53326.4","53407.75"
"NIFTY BANK","06 Dec 2024","53634.2","53868.5","53160.65","53509.50"
"NIFTY BANK","05 Dec 2024","53354.45","53888.3","52850.35","53603.55"
"NIFTY BANK","04 Dec 2024","52775","53387.1","52685.15","53266.90"
"NIFTY BANK","03 Dec 2024","52357.95","52780.9","52216.85","52695.75"
"NIFTY BANK","02 Dec 2024","52087.65","52197.25","51693.95","52109.00"
"NIFTY BANK","29 Nov 2024","51984.15","52170.9","51759.45","52055.60"
"NIFTY BANK","28 Nov 2024","52389.95","52760.2","51782.9","51906.85"
"NIFTY BANK","27 Nov 2024","52154.3","52444.35","52019.65","52301.80"
"NIFTY BANK","26 Nov 2024","52554.9","52555.5","51999.75","52191.50"
"NIFTY BANK","25 Nov 2024","52046.35","52331.1","51774.05","52207.50"
"NIFTY BANK","22 Nov 2024","50512.8","51271.5","50508.25","51135.40"
"NIFTY BANK","21 Nov 2024","50625","50652.15","49787.1","50372.90"
"NIFTY BANK","19 Nov 2024","50580.55","50983.5","50440.85","50626.50"
"NIFTY BANK","18 Nov 2024","50312.45","50445.8","50074","50363.80"
"NIFTY BANK","14 Nov 2024","50053.45","50561.8","49939.35","50179.55"
"NIFTY BANK","13 Nov 2024","51030.95","51353.5","49904.4","50088.35"
"NIFTY BANK","12 Nov 2024","52053.75","52169.05","51006.85","51157.80"
"NIFTY BANK","11 Nov 2024","51562.7","52177.7","51294.2","51876.75"
"NIFTY BANK","08 Nov 2024","51869.15","52007.15","51494","51561.20"
"NIFTY BANK","07 Nov 2024","52258.95","52377.25","51752.25","51916.50"
"NIFTY BANK","06 Nov 2024","52440.4","52493.95","52185.4","52317.40"
"NIFTY BANK","05 Nov 2024","51052.6","52289.55","50865.45","52207.25"
"NIFTY BANK","04 Nov 2024","51764.5","51764.5","51066.8","51215.25"
"NIFTY BANK","01 Nov 2024","51550.15","51825.5","51459.4","51673.90"
"NIFTY BANK","31 Oct 2024","51649.45","52005.6","51318.1","51475.35"
"NIFTY BANK","30 Oct 2024","51988.7","52220","51733","51807.50"
"NIFTY BANK","29 Oct 2024","51404.1","52354.85","51278.9","52320.70"
"NIFTY BANK","28 Oct 2024","51061.35","51589.15","51012.55","51259.30"
"NIFTY BANK","25 Oct 2024","51369.75","51501.05","50382.1","50787.45"
"NIFTY BANK","24 Oct 2024","51272.3","51781.55","51201.85","51531.15"
"NIFTY BANK","23 Oct 2024","51117.8","51551.55","51107.9","51239.00"
"NIFTY BANK","22 Oct 2024","52071.35","52257.3","51179.6","51257.15"
"NIFTY BANK","21 Oct 2024","52361.1","52577.5","51855.15","51962.70"
"NIFTY BANK","18 Oct 2024","51261","52199.45","51000.9","52094.20"
"NIFTY BANK","17 Oct 2024","51849.3","51930.2","51150.25","51288.80"
"NIFTY BANK","16 Oct 2024","51711.2","52031.6","51711.2","51801.05"
"NIFTY BANK","15 Oct 2024","51975.95","52022.05","51698.75","51906.00"
"NIFTY BANK","14 Oct 2024","51263.25","51893","51220.85","51816.90"
"NIFTY BANK","11 Oct 2024","51491.9","51560","51005.85","51172.30"
"NIFTY BANK","10 Oct 2024","51195.7","51659.45","51047","51530.90"
"NIFTY BANK","09 Oct 2024","51161.75","51707.15","50903.75","51007.00"
"NIFTY BANK","08 Oct 2024","50736.1","51176.05","50466","51021.00"
"NIFTY BANK","07 Oct 2024","51543.2","51784.8","50194.3","50478.90"
"NIFTY BANK","04 Oct 2024","51643.75","52358.35","51347.25","51462.05"
"NIFTY BANK","03 Oct 2024","52314.45","52582.95","51683.4","51845.20"
"NIFTY BANK","01 Oct 2024","52844","53235.25","52817.8","52922.60"
"NIFTY BANK","30 Sep 2024","53556.95","53726.4","52926.55","52978.10"
"NIFTY BANK","27 Sep 2024","54338.7","54338.7","53763.2","53834.30"
"NIFTY BANK","26 Sep 2024","54045.85","54467.35","54010.9","54375.35"
"NIFTY BANK","25 Sep 2024","53794","54141.3","53792.85","54101.65"
"NIFTY BANK","24 Sep 2024","54110.65","54247.7","53904.65","53968.60"
"NIFTY BANK","23 Sep 2024","53917.9","54197.95","53741.4","54105.80"
"NIFTY BANK","20 Sep 2024","53235.8","54066.1","53037.6","53793.20"
"NIFTY BANK","19 Sep 2024","52929.25","53353.3","52847.9","53037.60"
"NIFTY BANK","18 Sep 2024","52177.1","52954.2","52154.55","52750.40"
"NIFTY BANK","17 Sep 2024","52249.05","52284.6","52085.5","52188.65"
"NIFTY BANK","16 Sep 2024","52038.7","52208.7","51921.45","52153.15"
"NIFTY BANK","13 Sep 2024","51952.55","51994.1","51643.95","51938.05"
"NIFTY BANK","12 Sep 2024","51271","51878.1","51025","51772.40"
"NIFTY BANK","11 Sep 2024","51218.55","51420.15","50947.7","51010.00"
"NIFTY BANK","10 Sep 2024","51328.3","51366","50958.25","51272.30"
"NIFTY BANK","09 Sep 2024","50549.25","51192.75","50369.4","51117.80"
"NIFTY BANK","06 Sep 2024","51200.4","51380.05","50447.3","50576.85"
"NIFTY BANK","05 Sep 2024","51544.25","51636.75","51389.15","51473.05"
"NIFTY BANK","04 Sep 2024","51364.65","51503.55","51259.9","51400.25"
"NIFTY BANK","03 Sep 2024","51479.75","51750.1","51240.05","51689.10"
"NIFTY BANK","02 Sep 2024","51579.5","51579.5","51295.8","51439.55"
"NIFTY BANK","30 Aug 2024","51437.45","51466.55","51256","51351.00"
"NIFTY BANK","29 Aug 2024","51103.75","51368.95","50984.4","51152.75"
"NIFTY BANK","28 Aug 2024","51208.95","51260.75","51033.7","51143.85"
"NIFTY BANK","27 Aug 2024","51214.05","51404.7","50938.1","51278.75"
"NIFTY BANK","26 Aug 2024","51100.65","51317.85","51061.55","51148.10"
"NIFTY BANK","23 Aug 2024","51040.05","51117.85","50856.7","50933.45"
"NIFTY BANK","22 Aug 2024","50894.8","51080","50794.45","50985.70"
"NIFTY BANK","21 Aug 2024","50666.65","50772.45","50333.35","50685.55"
"NIFTY BANK","20 Aug 2024","50417.25","51025.6","50398.6","50803.15"
"NIFTY BANK","19 Aug 2024","50683.55","50728.25","50283.55","50368.35"
"NIFTY BANK","16 Aug 2024","50133","50603.4","49806.05","50516.90"
"NIFTY BANK","14 Aug 2024","49887.15","49959.25","49654.65","49727.30"
"NIFTY BANK","13 Aug 2024","50395.35","50559.25","49785.1","49831.85"
"NIFTY BANK","12 Aug 2024","50412.6","50830.7","50149.25","50577.95"
