"Date","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE","ltp ","Close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-Jul-2025","EQ","821.00","824.05","809.00","820.30","812.70","812.90","814.81","899.00","680.00","66,61,200","5,42,75,83,829.55","1,21,545"
"01-Jul-2025","EQ","820.00","824.90","813.25","820.35","820.20","820.30","819.76","899.00","680.00","1,14,56,405","9,39,14,84,331.05","1,57,197"
"30-Jun-2025","EQ","809.00","821.00","807.05","805.40","819.85","820.35","816.64","899.00","680.00","1,96,52,607","16,04,91,37,157.55","2,49,562"
"27-Jun-2025","EQ","805.00","809.45","802.65","797.05","804.55","805.40","805.86","899.00","680.00","1,93,75,990","15,61,42,54,535.75","2,62,127"
"26-Jun-2025","EQ","802.00","803.35","791.40","800.05","796.05","797.05","795.08","899.00","680.00","2,47,04,402","19,64,19,48,457.00","2,08,543"
"25-Jun-2025","EQ","799.50","803.80","796.10","795.40","800.00","800.05","799.91","899.00","680.00","65,28,324","5,22,20,95,310.00","1,31,096"
"24-Jun-2025","EQ","799.00","806.65","793.65","790.20","795.75","795.40","799.60","899.00","680.00","1,14,02,190","9,11,71,65,780.85","1,84,002"
"23-Jun-2025","EQ","790.00","794.95","788.50","796.15","790.00","790.20","791.21","899.00","680.00","55,49,253","4,39,06,04,870.65","1,31,841"
"20-Jun-2025","EQ","787.50","799.45","786.10","785.10","795.25","796.15","794.39","899.00","680.00","1,13,67,669","9,03,03,30,594.45","1,69,215"
"19-Jun-2025","EQ","792.35","793.25","781.70","791.90","782.60","785.10","786.26","899.00","680.00","1,18,24,333","9,29,70,45,726.70","2,89,212"
"18-Jun-2025","EQ","792.50","795.50","788.35","792.30","790.40","791.90","791.48","899.00","680.00","57,10,169","4,51,95,00,759.90","1,36,624"
"17-Jun-2025","EQ","794.00","798.85","790.55","792.50","792.05","792.30","794.06","899.00","680.00","77,53,156","6,15,64,66,697.60","1,15,931"
"16-Jun-2025","EQ","792.50","795.40","786.15","792.35","793.00","792.50","791.28","899.00","680.00","80,85,001","6,39,74,93,172.15","1,57,361"
"13-Jun-2025","EQ","786.25","796.30","786.25","805.95","793.30","792.35","792.35","899.00","680.00","1,13,77,117","9,01,46,34,064.30","1,96,572"
"12-Jun-2025","EQ","816.00","816.50","801.20","815.05","804.00","805.95","809.23","899.00","680.00","1,34,48,521","10,88,29,09,973.85","1,54,034"
"11-Jun-2025","EQ","817.00","820.60","813.05","817.05","814.40","815.05","817.21","899.00","680.00","71,97,825","5,88,21,09,303.90","1,09,100"
"10-Jun-2025","EQ","821.00","822.05","814.60","820.05","817.00","817.05","818.07","899.00","680.00","65,60,513","5,36,69,31,400.75","1,73,698"
"09-Jun-2025","EQ","817.40","824.50","815.70","813.05","820.00","820.05","820.86","899.00","680.00","1,27,93,040","10,50,13,57,386.30","1,95,288"
"06-Jun-2025","EQ","806.65","816.45","803.10","806.00","812.65","813.05","811.87","912.00","680.00","1,71,63,935","13,93,49,18,691.45","2,02,699"
"05-Jun-2025","EQ","808.70","811.70","802.85","806.50","806.80","806.00","806.79","912.00","680.00","1,35,95,507","10,96,86,53,855.65","1,76,672"
"04-Jun-2025","EQ","817.00","817.00","805.25","809.80","805.50","806.50","808.79","912.00","680.00","96,07,927","7,77,08,21,872.90","1,36,010"
"03-Jun-2025","EQ","816.20","818.40","805.15","813.65","808.20","809.80","811.05","912.00","680.00","1,42,47,597","11,55,54,79,376.75","1,75,051"
"02-Jun-2025","EQ","812.85","822.55","809.20","812.30","813.50","813.65","814.73","912.00","680.00","2,68,91,575","21,90,93,10,086.45","2,18,771"
"30-May-2025","EQ","798.00","814.50","792.60","797.35","814.00","812.30","807.33","912.00","680.00","2,20,37,314","17,79,12,79,933.65","2,17,715"
"29-May-2025","EQ","799.00","800.40","791.35","796.55","798.10","797.35","794.95","912.00","680.00","1,40,34,127","11,15,63,61,147.65","2,81,565"
"28-May-2025","EQ","794.50","798.90","792.65","793.70","796.00","796.55","796.29","912.00","680.00","68,73,519","5,47,33,17,160.35","1,13,841"
"27-May-2025","EQ","794.40","801.35","790.05","794.40","794.25","793.70","795.55","912.00","680.00","1,19,95,043","9,54,26,79,873.15","1,78,381"
"26-May-2025","EQ","792.00","797.55","789.20","790.50","794.15","794.40","794.09","912.00","680.00","49,65,466","3,94,30,15,064.15","98,636"
"23-May-2025","EQ","787.90","794.95","786.20","785.25","790.25","790.50","790.74","912.00","680.00","55,34,158","4,37,60,97,515.60","1,06,313"
"22-May-2025","EQ","788.00","788.20","780.30","787.10","785.80","785.25","784.47","912.00","680.00","73,55,826","5,77,04,52,205.00","1,60,443"
"21-May-2025","EQ","787.00","791.00","779.10","785.65","787.20","787.10","786.00","912.00","680.00","82,06,040","6,44,99,39,895.55","1,30,051"
"20-May-2025","EQ","798.15","799.40","783.80","795.00","786.70","785.65","788.84","912.00","680.00","1,13,24,667","8,93,33,54,461.85","1,69,563"
"19-May-2025","EQ","792.10","801.40","792.10","792.10","794.45","795.00","796.74","912.00","680.00","1,06,66,184","8,49,81,49,477.50","1,94,011"
"16-May-2025","EQ","804.00","804.00","791.00","807.75","792.50","792.10","794.09","912.00","680.00","1,47,33,924","11,70,00,04,865.75","2,41,785"
"15-May-2025","EQ","804.45","809.45","794.50","800.70","808.00","807.75","802.04","912.00","680.00","1,70,58,854","13,68,19,51,074.05","2,00,305"
"14-May-2025","EQ","805.75","807.50","796.30","801.75","802.40","800.70","801.49","912.00","680.00","92,81,719","7,43,91,87,440.95","1,46,698"
"13-May-2025","EQ","798.60","807.65","797.20","801.65","801.95","801.75","802.32","912.00","680.00","1,39,09,596","11,15,99,32,476.10","2,01,551"
"12-May-2025","EQ","799.00","803.90","793.00","779.25","800.95","801.65","799.87","912.00","680.00","1,50,96,824","12,07,54,21,793.80","1,73,252"
"09-May-2025","EQ","756.50","781.70","755.50","769.00","780.50","779.25","772.28","912.00","680.00","1,35,78,216","10,48,62,27,680.40","2,46,098"
